game_id,game_date,start_time,captured_at,home_team,away_team,bullpen_ip_diff,bullpen_availability_diff,home_bullpen_fatigue_score,away_bullpen_fatigue_score,home_bullpen_pitches_last_1d,away_bullpen_pitches_last_1d,home_bullpen_pitches_last_3d,away_bullpen_pitches_last_3d,home_closer_risk_score,away_closer_risk_score,lineup_projection_available_diff,context_bridge_source_status,context_bridge_reason,context_bridge_captured_at
822717,2026-06-25,2026-06-25T22:45:00+00:00,2026-06-25T22:27:03.058701+00:00,Washington Nationals,Philadelphia Phillies,-62.0,-47.5,194.5,147.0,104.0,71.0,285.0,223.0,1.0,1.0,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822718,2026-06-23,2026-06-23T22:45:00+00:00,2026-06-23T21:04:58.426477+00:00,Washington Nationals,Philadelphia Phillies,28.0,63.0,97.0,160.0,15.0,113.0,179.0,207.0,0.55,1.0,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822719,2026-06-24,2026-06-24T22:45:00+00:00,2026-06-24T21:40:46.563377+00:00,Washington Nationals,Philadelphia Phillies,-53.0,-90.0,211.0,121.0,166.0,39.0,256.0,203.0,1.0,1.0,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822720,2026-06-22,2026-06-22T22:45:00+00:00,2026-06-22T21:09:28.267174+00:00,Washington Nationals,Philadelphia Phillies,-155.0,-89.5,162.0,72.5,75.0,51.0,249.0,94.0,1.0,0.65,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822721,2026-06-17,2026-06-17T17:05:00+00:00,2026-06-17T13:54:21.557616+00:00,Washington Nationals,Kansas City Royals,-111.0,-61.5,153.5,92.0,64.0,52.0,243.0,132.0,1.0,0.85,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822722,2026-06-14,2026-06-14T17:35:00+00:00,2026-06-14T12:01:32.809155+00:00,Washington Nationals,Seattle Mariners,-83.0,-55.0,124.5,69.5,69.0,42.0,180.0,97.0,1.0,0.5,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822723,2026-06-16,2026-06-16T22:45:00+00:00,2026-06-16T21:14:10.018628+00:00,Washington Nationals,Kansas City Royals,-88.0,-55.0,167.0,112.0,86.0,64.0,248.0,160.0,1.0,1.0,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822724,2026-06-15,2026-06-15T22:45:00+00:00,2026-06-15T10:30:49.037896+00:00,Washington Nationals,Kansas City Royals,-38.0,-57.5,183.0,125.5,93.0,16.0,273.0,235.0,1.0,0.7,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822725,2026-06-13,2026-06-13T20:05:00+00:00,2026-06-13T14:54:26.594670+00:00,Washington Nationals,Seattle Mariners,-91.0,-96.5,148.0,51.5,111.0,9.0,185.0,94.0,1.0,0.1,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822726,2026-06-12,2026-06-12T22:45:00+00:00,2026-06-12T21:52:30.159126+00:00,Washington Nationals,Seattle Mariners,1.0,23.5,80.5,104.0,0.0,46.0,161.0,162.0,0.45,1.0,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822727,2026-06-03,2026-06-03T17:05:00+00:00,2026-06-03T14:02:07.840520+00:00,Washington Nationals,Miami Marlins,36.0,12.0,167.5,179.5,107.0,95.0,228.0,264.0,1.0,1.0,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822728,2026-06-02,2026-06-02T22:45:00+00:00,2026-06-02T21:54:22.349462+00:00,Washington Nationals,Miami Marlins,13.0,-17.0,140.5,123.5,76.0,29.0,205.0,218.0,1.0,0.85,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822729,2026-05-31,2026-05-31T17:35:00+00:00,2026-05-31T16:07:50.641249+00:00,Washington Nationals,San Diego Padres,-109.0,-75.0,163.0,88.0,84.0,43.0,242.0,133.0,,,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822730,2026-06-01,2026-06-01T22:45:00+00:00,2026-06-01T21:56:45.773595+00:00,Washington Nationals,Miami Marlins,-58.0,18.5,166.0,184.5,45.0,140.0,287.0,229.0,1.0,1.0,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822731,2026-05-30,2026-05-30T20:05:00+00:00,2026-05-30T19:14:08.902169+00:00,Washington Nationals,San Diego Padres,-130.0,-99.0,214.0,115.0,158.0,90.0,270.0,140.0,,,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822792,2026-06-29,2026-06-29T23:07:00+00:00,2026-06-29T11:21:42.120433+00:00,Toronto Blue Jays,New York Mets,12.0,39.5,149.5,189.0,72.0,139.0,227.0,239.0,1.0,1.0,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822794,2026-06-27,2026-06-27T19:07:00+00:00,2026-06-27T18:12:17.625259+00:00,Toronto Blue Jays,Texas Rangers,-37.0,-30.5,120.0,89.5,76.0,52.0,164.0,127.0,1.0,0.75,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822795,2026-06-28,2026-06-28T17:37:00+00:00,2026-06-28T16:20:35.050103+00:00,Toronto Blue Jays,Texas Rangers,-8.0,4.0,138.5,142.5,79.0,95.0,198.0,190.0,1.0,1.0,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822796,2026-06-26,2026-06-26T23:07:00+00:00,2026-06-26T22:20:58.424642+00:00,Toronto Blue Jays,Texas Rangers,-31.0,-15.5,124.0,108.5,43.0,43.0,205.0,174.0,1.0,0.85,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822797,2026-06-25,2026-06-25T23:07:00+00:00,2026-06-25T22:27:03.058701+00:00,Toronto Blue Jays,Texas Rangers,64.0,25.5,122.0,147.5,45.0,32.0,199.0,263.0,1.0,1.0,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822798,2026-06-24,2026-06-24T23:07:00+00:00,2026-06-24T21:40:46.563377+00:00,Toronto Blue Jays,Houston Astros,0.0,0.0,,165.5,,103.0,,228.0,1.0,1.0,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_pitches_last_3d_missing; fatigue_missing_used_closer_risk; bullpen_availability_diff=away_closer_risk-home_closer_risk",2026-06-29T11:40:23.692758+00:00
822799,2026-06-23,2026-06-23T20:07:00+00:00,2026-06-23T18:08:39.281452+00:00,Toronto Blue Jays,Houston Astros,0.0,0.0,,130.0,,84.0,,176.0,1.0,1.0,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_pitches_last_3d_missing; fatigue_missing_used_closer_risk; bullpen_availability_diff=away_closer_risk-home_closer_risk",2026-06-29T11:40:23.692758+00:00
822800,2026-06-22,2026-06-22T23:07:00+00:00,2026-06-22T21:09:28.267174+00:00,Toronto Blue Jays,Houston Astros,0.0,-0.4,,82.5,,41.0,,124.0,1.0,0.6,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_pitches_last_3d_missing; fatigue_missing_used_closer_risk; bullpen_availability_diff=away_closer_risk-home_closer_risk",2026-06-29T11:40:23.692758+00:00
822801,2026-06-14,2026-06-14T17:37:00+00:00,2026-06-14T12:01:32.809155+00:00,Toronto Blue Jays,New York Yankees,13.0,7.5,66.0,73.5,35.0,37.0,97.0,110.0,0.5,0.6,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822802,2026-06-13,2026-06-13T19:07:00+00:00,2026-06-13T14:54:26.594670+00:00,Toronto Blue Jays,New York Yankees,-62.0,-25.5,118.0,92.5,62.0,73.0,174.0,112.0,1.0,0.85,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822803,2026-06-12,2026-06-12T23:37:00+00:00,2026-06-12T23:22:44.338782+00:00,Toronto Blue Jays,New York Yankees,-39.0,-19.5,75.5,56.0,0.0,0.0,151.0,112.0,0.45,0.2,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822804,2026-06-10,2026-06-10T23:07:00+00:00,2026-06-10T21:27:34.957253+00:00,Toronto Blue Jays,Philadelphia Phillies,-18.0,-7.5,109.0,101.5,39.0,42.0,179.0,161.0,0.85,0.85,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822805,2026-06-09,2026-06-09T23:07:00+00:00,2026-06-09T22:25:45.628325+00:00,Toronto Blue Jays,Philadelphia Phillies,-95.0,-72.0,171.5,99.5,78.0,29.0,265.0,170.0,1.0,0.7,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
822806,2026-06-08,2026-06-08T23:07:00+00:00,2026-06-08T22:28:08.345647+00:00,Toronto Blue Jays,Philadelphia Phillies,-78.0,-25.0,166.5,141.5,62.0,90.0,271.0,193.0,1.0,1.0,0,partial,"missing_source_columns=home_projected_lineup_available,away_projected_lineup_available; bullpen_availability_diff=away_fatigue-home_fatigue",2026-06-29T11:40:23.692758+00:00
