game_id,game_date,home_team,away_team,home_score,away_score,home_win,status
776906,2025-08-01,San Diego Padres,St. Louis Cardinals,4,1,1,Final
776908,2025-08-01,Seattle Mariners,Texas Rangers,4,3,1,Final
776913,2025-08-01,Philadelphia Phillies,Detroit Tigers,5,4,1,Final
776914,2025-08-01,Athletics,Arizona Diamondbacks,5,1,1,Final
776915,2025-08-01,Chicago Cubs,Baltimore Orioles,1,0,1,Final
776916,2025-08-01,Los Angeles Angels,Chicago White Sox,3,6,0,Final
776917,2025-08-01,Washington Nationals,Milwaukee Brewers,9,16,0,Final
776918,2025-08-01,Tampa Bay Rays,Los Angeles Dodgers,0,5,0,Final
776919,2025-08-01,Colorado Rockies,Pittsburgh Pirates,17,16,1,Final
776920,2025-08-01,Toronto Blue Jays,Kansas City Royals,3,9,0,Final
776921,2025-08-01,Cincinnati Reds,Atlanta Braves,3,2,1,Final
776922,2025-08-01,Boston Red Sox,Houston Astros,2,1,1,Final
776924,2025-08-01,Cleveland Guardians,Minnesota Twins,3,2,1,Final
776925,2025-08-01,Miami Marlins,New York Yankees,13,12,1,Final
776926,2025-08-01,New York Mets,San Francisco Giants,3,4,0,Final
776896,2025-08-02,San Diego Padres,St. Louis Cardinals,5,8,0,Final
776897,2025-08-02,Seattle Mariners,Texas Rangers,4,6,0,Final
776898,2025-08-02,Los Angeles Angels,Chicago White Sox,0,1,0,Final
776899,2025-08-02,Athletics,Arizona Diamondbacks,2,7,0,Final
776900,2025-08-02,Toronto Blue Jays,Kansas City Royals,4,2,1,Final
776901,2025-08-02,Tampa Bay Rays,Los Angeles Dodgers,4,0,1,Final
776902,2025-08-02,Chicago Cubs,Baltimore Orioles,3,4,0,Final
776903,2025-08-02,Washington Nationals,Milwaukee Brewers,2,8,0,Final
776904,2025-08-02,Colorado Rockies,Pittsburgh Pirates,8,5,1,Final
776905,2025-08-02,Cleveland Guardians,Minnesota Twins,5,4,1,Final
776909,2025-08-02,Boston Red Sox,Houston Astros,7,3,1,Final
776910,2025-08-02,Miami Marlins,New York Yankees,2,0,1,Final
776911,2025-08-02,New York Mets,San Francisco Giants,12,6,1,Final
776912,2025-08-02,Philadelphia Phillies,Detroit Tigers,5,7,0,Final
776881,2025-08-03,Athletics,Arizona Diamondbacks,4,6,0,Final
776883,2025-08-03,Seattle Mariners,Texas Rangers,5,4,1,Final
776884,2025-08-03,San Diego Padres,St. Louis Cardinals,7,3,1,Final
776885,2025-08-03,Los Angeles Angels,Chicago White Sox,8,5,1,Final
776886,2025-08-03,Colorado Rockies,Pittsburgh Pirates,5,9,0,Final
776887,2025-08-03,New York Mets,San Francisco Giants,4,12,0,Final
776888,2025-08-03,Chicago Cubs,Baltimore Orioles,5,3,1,Final
776889,2025-08-03,Tampa Bay Rays,Los Angeles Dodgers,0,3,0,Final
776890,2025-08-03,Philadelphia Phillies,Detroit Tigers,2,0,1,Final
776891,2025-08-03,Miami Marlins,New York Yankees,7,3,1,Final
776892,2025-08-03,Cleveland Guardians,Minnesota Twins,4,5,0,Final
776893,2025-08-03,Toronto Blue Jays,Kansas City Royals,4,7,0,Final
776894,2025-08-03,Washington Nationals,Milwaukee Brewers,3,14,0,Final
776895,2025-08-03,Boston Red Sox,Houston Astros,6,1,1,Final
776907,2025-08-03,Cincinnati Reds,Atlanta Braves,2,4,0,Final
776867,2025-08-04,Los Angeles Angels,Tampa Bay Rays,5,1,1,Final
776870,2025-08-04,Los Angeles Dodgers,St. Louis Cardinals,2,3,0,Final
776871,2025-08-04,Texas Rangers,New York Yankees,8,5,1,Final
776872,2025-08-04,Colorado Rockies,Toronto Blue Jays,1,15,0,Final
776873,2025-08-04,Arizona Diamondbacks,San Diego Padres,6,2,1,Final
776874,2025-08-04,Detroit Tigers,Minnesota Twins,6,3,1,Final
776875,2025-08-04,Miami Marlins,Houston Astros,2,8,0,Final
776876,2025-08-04,New York Mets,Cleveland Guardians,6,7,0,Final
776877,2025-08-04,Philadelphia Phillies,Baltimore Orioles,13,3,1,Final
776878,2025-08-04,Chicago Cubs,Cincinnati Reds,2,3,0,Final
