timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-05-30T20:56:06.204064,2.28,1.65,1.85,1.97,1.5,9.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-30T20:55:27Z"", ""home_moneyline_odds"": 2.28, ""away_moneyline_odds"": 1.66, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.78, ""total_line"": 9.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-30T20:56:03Z"", ""home_moneyline_odds"": 2.29, ""away_moneyline_odds"": 1.64, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.8, ""total_line"": 9.5, ""over_odds"": 1.85, ""under_odds"": 1.97}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-30T20:56:03Z"", ""home_moneyline_odds"": 2.25, ""away_moneyline_odds"": 1.65, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.83, ""total_line"": 9.5, ""over_odds"": 1.85, ""under_odds"": 1.98}]"
2026-05-30T22:01:44.781279,2.28,1.65,1.85,1.97,1.5,9.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-30T22:01:16Z"", ""home_moneyline_odds"": 2.28, ""away_moneyline_odds"": 1.66, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.78, ""total_line"": 9.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-30T22:00:58Z"", ""home_moneyline_odds"": 2.29, ""away_moneyline_odds"": 1.64, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.82, ""total_line"": 9.5, ""over_odds"": 1.85, ""under_odds"": 1.97}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-30T22:01:16Z"", ""home_moneyline_odds"": 2.25, ""away_moneyline_odds"": 1.65, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.83, ""total_line"": 9.5, ""over_odds"": 1.85, ""under_odds"": 1.98}]"
2026-05-31T00:01:23.489463,2.29,1.65,1.85,1.97,1.5,9.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-31T00:00:54Z"", ""home_moneyline_odds"": 2.3, ""away_moneyline_odds"": 1.65, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.87, ""total_line"": 9.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-31T00:01:12Z"", ""home_moneyline_odds"": 2.29, ""away_moneyline_odds"": 1.64, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.83, ""total_line"": 9.5, ""over_odds"": 1.85, ""under_odds"": 1.97}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-31T00:01:12Z"", ""home_moneyline_odds"": 2.25, ""away_moneyline_odds"": 1.65, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.85, ""total_line"": 9.5, ""over_odds"": 1.85, ""under_odds"": 1.98}]"
2026-05-31T00:01:23.525161,2.29,1.64,2.09,1.76,,10.5,DraftKings,OK,,"[{""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-31T00:01:12Z"", ""home_moneyline_odds"": 2.29, ""away_moneyline_odds"": 1.64, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 10.5, ""over_odds"": 2.09, ""under_odds"": 1.76}]"
2026-05-31T02:39:58.351151,1.36,3.1,1.74,2.04,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-31T02:39:52Z"", ""home_moneyline_odds"": 1.36, ""away_moneyline_odds"": 3.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.8, ""total_line"": 8.5, ""over_odds"": 1.82, ""under_odds"": 1.93}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-31T02:39:33Z"", ""home_moneyline_odds"": 1.35, ""away_moneyline_odds"": 3.16, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.72, ""total_line"": 8.5, ""over_odds"": 1.74, ""under_odds"": 2.04}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-31T02:39:33Z"", ""home_moneyline_odds"": 1.45, ""away_moneyline_odds"": 2.75, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.95, ""total_line"": 8.5, ""over_odds"": 1.67, ""under_odds"": 2.15}]"
2026-05-31T02:39:58.389652,2.29,1.65,1.95,1.87,1.5,10.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-31T02:39:33Z"", ""home_moneyline_odds"": 2.29, ""away_moneyline_odds"": 1.64, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.83, ""total_line"": 10.0, ""over_odds"": 1.94, ""under_odds"": 1.88}, {""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-31T02:39:52Z"", ""home_moneyline_odds"": 2.3, ""away_moneyline_odds"": 1.65, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.83, ""total_line"": 10.5, ""over_odds"": 2.1, ""under_odds"": 1.75}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-31T02:39:33Z"", ""home_moneyline_odds"": 2.25, ""away_moneyline_odds"": 1.67, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.8, ""total_line"": 10.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-05-31T03:14:25.502398,1.74,2.06,1.95,1.83,1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-31T03:13:53Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.06, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.88, ""total_line"": 8.5, ""over_odds"": 1.96, ""under_odds"": 1.78}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-31T03:13:52Z"", ""home_moneyline_odds"": 1.76, ""away_moneyline_odds"": 2.01, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.43, ""total_line"": 8.5, ""over_odds"": 1.89, ""under_odds"": 1.86}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-31T03:13:52Z"", ""home_moneyline_odds"": 1.71, ""away_moneyline_odds"": 2.1, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.43, ""total_line"": 8.5, ""over_odds"": 1.95, ""under_odds"": 1.83}]"
2026-05-31T03:14:25.541777,2.29,1.65,1.94,1.88,1.5,10.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-31T03:13:52Z"", ""home_moneyline_odds"": 2.29, ""away_moneyline_odds"": 1.64, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.83, ""total_line"": 10.0, ""over_odds"": 1.94, ""under_odds"": 1.88}, {""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-31T03:13:53Z"", ""home_moneyline_odds"": 2.3, ""away_moneyline_odds"": 1.65, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.83, ""total_line"": 10.5, ""over_odds"": 2.1, ""under_odds"": 1.75}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-31T03:13:52Z"", ""home_moneyline_odds"": 2.25, ""away_moneyline_odds"": 1.67, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.77, ""total_line"": 10.0, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-05-31T04:46:15.329486,1.01,21.0,2.58,1.47,-4.5,7.5,"BetMGM, DraftKings, FanDuel",SUSPICIOUS,home moneyline below 1.05; away moneyline above 10.00; spread abs value above 2.5; away bookmaker prices disagree materially,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-31T04:46:01Z"", ""home_moneyline_odds"": 1.0, ""away_moneyline_odds"": 21.0, ""home_spread_line"": -4.5, ""home_spread_odds"": 1.49, ""total_line"": 7.5, ""over_odds"": 2.58, ""under_odds"": 1.47}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-31T04:46:00Z"", ""home_moneyline_odds"": 1.03, ""away_moneyline_odds"": 10.6, ""home_spread_line"": -3.5, ""home_spread_odds"": 1.48, ""total_line"": 8.5, ""over_odds"": 2.56, ""under_odds"": 1.48}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-31T04:45:42Z"", ""home_moneyline_odds"": 1.01, ""away_moneyline_odds"": 34.0, ""home_spread_line"": -4.5, ""home_spread_odds"": 1.35, ""total_line"": 7.5, ""over_odds"": 3.1, ""under_odds"": 1.35}]"
2026-05-31T04:46:15.366714,2.29,1.65,1.95,1.88,1.5,10.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-31T04:46:00Z"", ""home_moneyline_odds"": 2.29, ""away_moneyline_odds"": 1.64, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.79, ""total_line"": 10.0, ""over_odds"": 1.95, ""under_odds"": 1.88}, {""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-31T04:46:01Z"", ""home_moneyline_odds"": 2.3, ""away_moneyline_odds"": 1.65, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.83, ""total_line"": 10.5, ""over_odds"": 2.1, ""under_odds"": 1.75}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-31T04:45:42Z"", ""home_moneyline_odds"": 2.25, ""away_moneyline_odds"": 1.67, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.77, ""total_line"": 10.0, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
