timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-02T08:29:56.073795,1.76,2.08,1.87,1.95,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T08:29:32Z"", ""home_moneyline_odds"": 1.79, ""away_moneyline_odds"": 2.08, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.68, ""total_line"": 7.5, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T08:28:56Z"", ""home_moneyline_odds"": 1.76, ""away_moneyline_odds"": 2.08, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.64, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T08:29:16Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.65, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-02T12:41:58.532712,1.75,2.095,1.86,1.965,-1.5,7.5,"BetMGM, DraftKings",OK,,"[{""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T12:41:43Z"", ""home_moneyline_odds"": 1.76, ""away_moneyline_odds"": 2.09, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.6, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T12:39:30Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.65, ""total_line"": 7.5, ""over_odds"": 1.85, ""under_odds"": 1.98}]"
2026-06-02T13:53:14.205594,1.76,2.09,1.85,1.98,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T13:53:02Z"", ""home_moneyline_odds"": 1.79, ""away_moneyline_odds"": 2.08, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.68, ""total_line"": 7.5, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T13:53:00Z"", ""home_moneyline_odds"": 1.76, ""away_moneyline_odds"": 2.09, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.59, ""total_line"": 7.5, ""over_odds"": 1.85, ""under_odds"": 1.97}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T13:50:43Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.65, ""total_line"": 7.5, ""over_odds"": 1.85, ""under_odds"": 1.98}]"
2026-06-02T17:23:21.966463,1.82,2.01,1.85,1.98,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T17:22:49Z"", ""home_moneyline_odds"": 1.85, ""away_moneyline_odds"": 2.0, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.8, ""total_line"": 7.5, ""over_odds"": 1.81, ""under_odds"": 2.02}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T17:23:09Z"", ""home_moneyline_odds"": 1.82, ""away_moneyline_odds"": 2.01, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.5, ""total_line"": 8.0, ""over_odds"": 1.99, ""under_odds"": 1.84}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T17:23:09Z"", ""home_moneyline_odds"": 1.77, ""away_moneyline_odds"": 2.05, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.7, ""total_line"": 7.5, ""over_odds"": 1.85, ""under_odds"": 1.98}]"
2026-06-02T20:49:25.730478,1.83,2.0,1.91,1.91,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T20:49:23Z"", ""home_moneyline_odds"": 1.82, ""away_moneyline_odds"": 2.04, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.76, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T20:49:24Z"", ""home_moneyline_odds"": 1.83, ""away_moneyline_odds"": 2.0, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.49, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T20:49:23Z"", ""home_moneyline_odds"": 1.83, ""away_moneyline_odds"": 2.0, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.65, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-02T20:49:25.777248,1.6949999999999998,2.205,1.955,1.87,-1.5,8.5,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T20:49:23Z"", ""home_moneyline_odds"": 1.72, ""away_moneyline_odds"": 2.18, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.58, ""total_line"": 8.5, ""over_odds"": 2.02, ""under_odds"": 1.81}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T20:49:24Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.23, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 8.5, ""over_odds"": 1.89, ""under_odds"": 1.93}]"
2026-06-02T21:55:54.614217,1.84,1.98,1.91,1.91,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T21:55:22Z"", ""home_moneyline_odds"": 1.82, ""away_moneyline_odds"": 2.04, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.76, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T21:55:38Z"", ""home_moneyline_odds"": 1.84, ""away_moneyline_odds"": 1.98, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.5, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T21:55:00Z"", ""home_moneyline_odds"": 1.85, ""away_moneyline_odds"": 1.98, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.65, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-02T21:55:54.658214,1.6949999999999998,2.205,1.975,1.85,-1.5,8.5,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T21:55:22Z"", ""home_moneyline_odds"": 1.72, ""away_moneyline_odds"": 2.18, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.58, ""total_line"": 8.5, ""over_odds"": 2.02, ""under_odds"": 1.81}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T21:55:38Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.23, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.39, ""total_line"": 8.5, ""over_odds"": 1.93, ""under_odds"": 1.89}]"
2026-06-02T23:03:38.199968,1.84,1.98,1.91,1.91,0.0,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T23:03:24Z"", ""home_moneyline_odds"": 1.83, ""away_moneyline_odds"": 2.02, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.76, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T23:03:22Z"", ""home_moneyline_odds"": 1.84, ""away_moneyline_odds"": 1.98, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.5, ""total_line"": 7.5, ""over_odds"": 1.92, ""under_odds"": 1.91}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T23:02:45Z"", ""home_moneyline_odds"": 1.85, ""away_moneyline_odds"": 1.98, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-02T23:03:38.248373,1.67,2.23,1.93,1.89,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T23:03:24Z"", ""home_moneyline_odds"": 1.72, ""away_moneyline_odds"": 2.18, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.58, ""total_line"": 8.5, ""over_odds"": 2.02, ""under_odds"": 1.81}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T23:03:22Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.23, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.39, ""total_line"": 8.5, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T23:02:45Z"", ""home_moneyline_odds"": 1.65, ""away_moneyline_odds"": 2.25, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.4, ""total_line"": 8.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
