timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-05T12:56:39.357615,1.59,2.4,1.98,1.84,-1.5,11.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T12:56:23Z"", ""home_moneyline_odds"": 1.62, ""away_moneyline_odds"": 2.36, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.18, ""total_line"": 11.0, ""over_odds"": 2.0, ""under_odds"": 1.82}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T12:56:23Z"", ""home_moneyline_odds"": 1.59, ""away_moneyline_odds"": 2.4, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.18, ""total_line"": 11.0, ""over_odds"": 1.98, ""under_odds"": 1.85}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T12:56:25Z"", ""home_moneyline_odds"": 1.58, ""away_moneyline_odds"": 2.41, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.14, ""total_line"": 11.0, ""over_odds"": 1.98, ""under_odds"": 1.84}]"
2026-06-05T14:26:36.408609,1.55,2.5,1.96,1.87,-1.5,11.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T14:26:34Z"", ""home_moneyline_odds"": 1.56, ""away_moneyline_odds"": 2.5, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.08, ""total_line"": 11.0, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T14:26:01Z"", ""home_moneyline_odds"": 1.54, ""away_moneyline_odds"": 2.5, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.1, ""total_line"": 11.0, ""over_odds"": 1.98, ""under_odds"": 1.85}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T14:26:33Z"", ""home_moneyline_odds"": 1.55, ""away_moneyline_odds"": 2.49, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.09, ""total_line"": 11.0, ""over_odds"": 1.96, ""under_odds"": 1.87}]"
2026-06-05T15:22:06.546311,1.55,2.5,1.96,1.87,-1.5,11.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T15:21:55Z"", ""home_moneyline_odds"": 1.56, ""away_moneyline_odds"": 2.5, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.1, ""total_line"": 11.0, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T15:20:40Z"", ""home_moneyline_odds"": 1.54, ""away_moneyline_odds"": 2.5, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.1, ""total_line"": 11.0, ""over_odds"": 1.98, ""under_odds"": 1.85}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T15:21:55Z"", ""home_moneyline_odds"": 1.55, ""away_moneyline_odds"": 2.49, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.09, ""total_line"": 11.0, ""over_odds"": 1.96, ""under_odds"": 1.87}]"
2026-06-05T16:13:26.129989,1.54,2.53,1.97,1.85,-1.5,11.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T16:12:56Z"", ""home_moneyline_odds"": 1.56, ""away_moneyline_odds"": 2.52, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.05, ""total_line"": 11.0, ""over_odds"": 1.98, ""under_odds"": 1.83}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T16:13:10Z"", ""home_moneyline_odds"": 1.53, ""away_moneyline_odds"": 2.54, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.05, ""total_line"": 11.0, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T16:12:33Z"", ""home_moneyline_odds"": 1.54, ""away_moneyline_odds"": 2.53, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.05, ""total_line"": 11.0, ""over_odds"": 1.97, ""under_odds"": 1.85}]"
2026-06-05T16:56:56.219210,1.54,2.52,1.93,1.9,-1.5,11.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T16:56:54Z"", ""home_moneyline_odds"": 1.56, ""away_moneyline_odds"": 2.52, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.08, ""total_line"": 11.0, ""over_odds"": 1.98, ""under_odds"": 1.83}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T16:56:15Z"", ""home_moneyline_odds"": 1.53, ""away_moneyline_odds"": 2.54, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.05, ""total_line"": 11.0, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T16:56:15Z"", ""home_moneyline_odds"": 1.54, ""away_moneyline_odds"": 2.52, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.05, ""total_line"": 11.0, ""over_odds"": 1.93, ""under_odds"": 1.9}]"
2026-06-05T18:14:20.838691,1.57,2.46,1.83,2.0,-1.5,10.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T18:14:07Z"", ""home_moneyline_odds"": 1.57, ""away_moneyline_odds"": 2.46, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.08, ""total_line"": 10.5, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T18:14:02Z"", ""home_moneyline_odds"": 1.57, ""away_moneyline_odds"": 2.45, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.05, ""total_line"": 10.5, ""over_odds"": 1.83, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T18:13:25Z"", ""home_moneyline_odds"": 1.54, ""away_moneyline_odds"": 2.53, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.05, ""total_line"": 11.0, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
2026-06-05T20:14:10.796396,2.4,1.57,2.0,1.79,1.5,9.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T20:14:04Z"", ""home_moneyline_odds"": 2.44, ""away_moneyline_odds"": 1.54, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.82, ""total_line"": 9.5, ""over_odds"": 2.04, ""under_odds"": 1.72}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T20:13:45Z"", ""home_moneyline_odds"": 2.4, ""away_moneyline_odds"": 1.57, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.74, ""total_line"": 9.5, ""over_odds"": 2.0, ""under_odds"": 1.8}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T20:14:05Z"", ""home_moneyline_odds"": 2.34, ""away_moneyline_odds"": 1.57, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.84, ""total_line"": 9.5, ""over_odds"": 1.98, ""under_odds"": 1.79}]"
2026-06-05T20:14:10.849060,1.71,2.185,2.0,1.82,-1.5,8.5,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T20:14:04Z"", ""home_moneyline_odds"": 1.72, ""away_moneyline_odds"": 2.18, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.5, ""total_line"": 8.5, ""over_odds"": 2.0, ""under_odds"": 1.82}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T20:14:05Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.19, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": null, ""over_odds"": null, ""under_odds"": null}]"
2026-06-05T21:44:35.842425,34.0,1.01,1.8,1.98,14.5,19.5,"BetMGM, DraftKings, FanDuel",SUSPICIOUS,home moneyline above 10.00; away moneyline below 1.05; spread abs value above 2.5; total outside 5.0-14.5,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T21:44:04Z"", ""home_moneyline_odds"": null, ""away_moneyline_odds"": null, ""home_spread_line"": 14.5, ""home_spread_odds"": 1.93, ""total_line"": 19.5, ""over_odds"": 1.63, ""under_odds"": 2.18}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T21:43:40Z"", ""home_moneyline_odds"": 34.0, ""away_moneyline_odds"": 1.01, ""home_spread_line"": 14.5, ""home_spread_odds"": 2.25, ""total_line"": 19.5, ""over_odds"": 1.8, ""under_odds"": 1.98}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T21:44:02Z"", ""home_moneyline_odds"": null, ""away_moneyline_odds"": null, ""home_spread_line"": 14.5, ""home_spread_odds"": 1.96, ""total_line"": 20.5, ""over_odds"": 2.15, ""under_odds"": 1.67}]"
2026-06-05T21:44:35.894386,1.71,2.185,1.975,1.845,-1.5,8.5,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T21:44:04Z"", ""home_moneyline_odds"": 1.72, ""away_moneyline_odds"": 2.18, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.5, ""total_line"": 8.5, ""over_odds"": 2.0, ""under_odds"": 1.82}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T21:44:02Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.19, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 8.5, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
