timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-20T08:47:49.697025,1.77,2.06,1.84,1.98,-1.5,9.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-20T08:47:26Z"", ""home_moneyline_odds"": 1.81, ""away_moneyline_odds"": 2.06, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.6, ""total_line"": 9.0, ""over_odds"": 1.85, ""under_odds"": 1.96}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-20T08:47:14Z"", ""home_moneyline_odds"": 1.76, ""away_moneyline_odds"": 2.08, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.53, ""total_line"": 9.0, ""over_odds"": 1.84, ""under_odds"": 1.98}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-20T08:47:14Z"", ""home_moneyline_odds"": 1.77, ""away_moneyline_odds"": 2.05, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.5, ""total_line"": 9.0, ""over_odds"": 1.83, ""under_odds"": 2.0}]"
2026-06-20T11:43:46.578059,1.76,2.08,1.83,2.0,-1.5,9.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-20T11:43:43Z"", ""home_moneyline_odds"": 1.79, ""away_moneyline_odds"": 2.08, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.64, ""total_line"": 9.0, ""over_odds"": 1.85, ""under_odds"": 1.96}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-20T11:43:43Z"", ""home_moneyline_odds"": 1.76, ""away_moneyline_odds"": 2.08, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.53, ""total_line"": 9.0, ""over_odds"": 1.83, ""under_odds"": 2.0}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-20T11:43:30Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.5, ""total_line"": 9.0, ""over_odds"": 1.83, ""under_odds"": 2.0}]"
2026-06-20T14:41:19.243897,1.74,2.1,1.98,1.85,-1.5,9.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-20T14:41:13Z"", ""home_moneyline_odds"": 1.77, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.6, ""total_line"": 9.0, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-20T14:40:20Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.13, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.52, ""total_line"": 9.5, ""over_odds"": 1.99, ""under_odds"": 1.83}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-20T14:40:23Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.5, ""total_line"": 9.5, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
2026-06-20T16:45:47.105255,1.74,2.1,1.98,1.85,-1.5,9.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-20T16:45:31Z"", ""home_moneyline_odds"": 1.77, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.52, ""total_line"": 9.5, ""over_odds"": 1.98, ""under_odds"": 1.83}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-20T16:45:31Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.13, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.48, ""total_line"": 9.5, ""over_odds"": 1.98, ""under_odds"": 1.85}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-20T16:45:19Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.45, ""total_line"": 9.5, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
2026-06-20T18:39:29.623016,1.62,2.24,1.89,1.85,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-20T18:39:15Z"", ""home_moneyline_odds"": 1.63, ""away_moneyline_odds"": 2.24, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.38, ""total_line"": 7.5, ""over_odds"": 1.89, ""under_odds"": 1.85}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-20T18:38:51Z"", ""home_moneyline_odds"": 1.62, ""away_moneyline_odds"": 2.23, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.41, ""total_line"": 7.5, ""over_odds"": 1.9, ""under_odds"": 1.85}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-20T18:39:15Z"", ""home_moneyline_odds"": 1.61, ""away_moneyline_odds"": 2.3, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.91}]"
2026-06-20T20:42:29.398544,1.09,6.66,1.62,2.22,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-20T20:42:16Z"", ""home_moneyline_odds"": 1.1, ""away_moneyline_odds"": 6.6, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.47, ""total_line"": 8.5, ""over_odds"": 1.62, ""under_odds"": 2.22}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-20T20:41:10Z"", ""home_moneyline_odds"": 1.09, ""away_moneyline_odds"": 6.66, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.45, ""total_line"": 8.5, ""over_odds"": 1.63, ""under_odds"": 2.21}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-20T20:42:02Z"", ""home_moneyline_odds"": 1.08, ""away_moneyline_odds"": 7.75, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.43, ""total_line"": 8.5, ""over_odds"": 1.62, ""under_odds"": 2.25}]"
2026-06-21T00:37:38.480053,2.05,1.79,1.98,1.83,1.5,7.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-21T00:37:33Z"", ""home_moneyline_odds"": 2.08, ""away_moneyline_odds"": 1.79, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.58, ""total_line"": 7.0, ""over_odds"": 1.98, ""under_odds"": 1.83}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-21T00:37:20Z"", ""home_moneyline_odds"": 2.04, ""away_moneyline_odds"": 1.79, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": null, ""over_odds"": null, ""under_odds"": null}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-21T00:36:43Z"", ""home_moneyline_odds"": 2.05, ""away_moneyline_odds"": 1.8, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": null, ""over_odds"": null, ""under_odds"": null}]"
2026-06-21T03:25:58.675673,2.05,1.79,1.91,1.91,1.5,6.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-21T03:25:48Z"", ""home_moneyline_odds"": 2.08, ""away_moneyline_odds"": 1.79, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 7.0, ""over_odds"": 2.04, ""under_odds"": 1.78}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-21T03:25:37Z"", ""home_moneyline_odds"": 2.04, ""away_moneyline_odds"": 1.8, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.58, ""total_line"": 6.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-21T03:25:04Z"", ""home_moneyline_odds"": 2.05, ""away_moneyline_odds"": 1.77, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 6.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-21T06:31:57.089161,2.05,1.79,1.91,1.91,1.5,6.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-21T06:31:40Z"", ""home_moneyline_odds"": 2.08, ""away_moneyline_odds"": 1.79, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 7.0, ""over_odds"": 2.04, ""under_odds"": 1.78}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-21T06:31:27Z"", ""home_moneyline_odds"": 2.04, ""away_moneyline_odds"": 1.8, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.58, ""total_line"": 6.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-21T06:31:27Z"", ""home_moneyline_odds"": 2.05, ""away_moneyline_odds"": 1.77, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 6.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-21T10:59:02.064507,2.01,1.82,1.85,1.98,1.5,6.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-21T10:58:56Z"", ""home_moneyline_odds"": 2.06, ""away_moneyline_odds"": 1.81, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 6.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-21T10:58:32Z"", ""home_moneyline_odds"": 2.01, ""away_moneyline_odds"": 1.82, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 6.5, ""over_odds"": 1.85, ""under_odds"": 1.98}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-21T10:58:09Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 6.5, ""over_odds"": 1.85, ""under_odds"": 1.98}]"
