timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-23T08:54:45.700998,1.95,1.88,1.87,1.95,1.5,7.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-23T08:54:30Z"", ""home_moneyline_odds"": 1.94, ""away_moneyline_odds"": 1.91, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.52, ""total_line"": 7.5, ""over_odds"": 2.0, ""under_odds"": 1.82}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-23T08:53:52Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.88, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.55, ""total_line"": 7.0, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-23T08:52:29Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 7.0, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-23T12:35:08.652816,1.95,1.88,1.87,1.96,1.5,7.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-23T12:34:57Z"", ""home_moneyline_odds"": 1.94, ""away_moneyline_odds"": 1.91, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.52, ""total_line"": 7.0, ""over_odds"": 1.85, ""under_odds"": 1.96}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-23T12:33:21Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.88, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 7.0, ""over_odds"": 1.87, ""under_odds"": 1.96}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-23T12:34:45Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.87, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 7.0, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-23T16:18:51.172172,1.95,1.88,1.87,1.96,1.5,7.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-23T16:18:38Z"", ""home_moneyline_odds"": 1.96, ""away_moneyline_odds"": 1.89, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.51, ""total_line"": 7.0, ""over_odds"": 1.85, ""under_odds"": 1.96}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-23T16:18:26Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.88, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 7.0, ""over_odds"": 1.87, ""under_odds"": 1.96}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-23T16:18:26Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.87, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 7.0, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-23T18:29:10.830311,1.95,1.87,1.87,1.95,1.5,7.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-23T18:29:00Z"", ""home_moneyline_odds"": 1.96, ""away_moneyline_odds"": 1.89, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.52, ""total_line"": 7.0, ""over_odds"": 1.85, ""under_odds"": 1.96}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-23T18:28:50Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.87, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 7.0, ""over_odds"": 1.88, ""under_odds"": 1.95}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-23T18:28:59Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.87, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 7.0, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-23T21:25:00.473992,1.95,1.88,1.85,1.97,1.5,7.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-23T21:24:56Z"", ""home_moneyline_odds"": 1.96, ""away_moneyline_odds"": 1.89, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.52, ""total_line"": 7.0, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-23T21:24:31Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.88, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 7.0, ""over_odds"": 1.85, ""under_odds"": 1.97}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-23T21:24:19Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.87, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 7.0, ""over_odds"": 1.85, ""under_odds"": 1.98}]"
2026-06-23T23:36:41.116638,1.95,1.88,1.85,1.97,1.5,7.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-23T23:36:22Z"", ""home_moneyline_odds"": 1.96, ""away_moneyline_odds"": 1.89, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.53, ""total_line"": 7.0, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-23T23:35:58Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.88, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 7.0, ""over_odds"": 1.85, ""under_odds"": 1.97}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-23T23:35:45Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.87, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 7.0, ""over_odds"": 1.85, ""under_odds"": 1.98}]"
2026-06-24T04:37:42.591874,2.01,1.82,1.91,1.91,1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-24T04:37:29Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 8.5, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-24T04:37:03Z"", ""home_moneyline_odds"": 2.01, ""away_moneyline_odds"": 1.82, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 8.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-24T04:37:15Z"", ""home_moneyline_odds"": 2.05, ""away_moneyline_odds"": 1.8, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.61, ""total_line"": 8.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-24T08:53:04.004773,2.0,1.83,1.93,1.9,1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-24T08:52:50Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 8.5, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-24T08:52:53Z"", ""home_moneyline_odds"": 1.99, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.61, ""total_line"": 8.5, ""over_odds"": 1.93, ""under_odds"": 1.9}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-24T08:52:01Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.61, ""total_line"": 8.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-24T12:12:46.761307,1.98,1.85,1.95,1.88,1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-24T12:12:29Z"", ""home_moneyline_odds"": 1.96, ""away_moneyline_odds"": 1.89, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 8.5, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-24T12:11:53Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.6, ""total_line"": 8.5, ""over_odds"": 1.95, ""under_odds"": 1.88}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-24T12:12:17Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 8.5, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-24T15:09:22.801773,1.95,1.88,1.93,1.89,1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-24T15:09:13Z"", ""home_moneyline_odds"": 1.96, ""away_moneyline_odds"": 1.89, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 8.5, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-24T15:08:50Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.88, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 8.5, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-24T15:08:49Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.87, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 8.5, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
