timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-27T16:37:42.193848,1.8,2.05,1.92,1.9,-1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-27T16:37:40Z"", ""home_moneyline_odds"": 1.82, ""away_moneyline_odds"": 2.04, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.72, ""total_line"": 8.0, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-27T16:37:27Z"", ""home_moneyline_odds"": 1.78, ""away_moneyline_odds"": 2.07, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.63, ""total_line"": 8.0, ""over_odds"": 1.92, ""under_odds"": 1.9}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-27T16:37:27Z"", ""home_moneyline_odds"": 1.8, ""away_moneyline_odds"": 2.05, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.55, ""total_line"": 8.0, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-27T18:36:30.833788,1.8,2.05,1.92,1.9,-1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-27T18:36:14Z"", ""home_moneyline_odds"": 1.82, ""away_moneyline_odds"": 2.04, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.72, ""total_line"": 8.0, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-27T18:36:25Z"", ""home_moneyline_odds"": 1.78, ""away_moneyline_odds"": 2.07, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.63, ""total_line"": 8.0, ""over_odds"": 1.92, ""under_odds"": 1.9}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-27T18:34:26Z"", ""home_moneyline_odds"": 1.8, ""away_moneyline_odds"": 2.05, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.55, ""total_line"": 8.0, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-27T20:38:33.787517,1.62,2.23,1.88,1.88,-1.5,6.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-27T20:38:11Z"", ""home_moneyline_odds"": 1.65, ""away_moneyline_odds"": 2.2, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.54, ""total_line"": 6.5, ""over_odds"": 1.88, ""under_odds"": 1.88}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-27T20:38:11Z"", ""home_moneyline_odds"": 1.62, ""away_moneyline_odds"": 2.23, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 6.5, ""over_odds"": 1.8, ""under_odds"": 1.96}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-27T20:38:20Z"", ""home_moneyline_odds"": 1.62, ""away_moneyline_odds"": 2.3, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.45, ""total_line"": 6.5, ""over_odds"": 1.91, ""under_odds"": 1.87}]"
2026-06-27T22:33:25.138489,1.04,10.0,5.9,1.12,-1.5,3.5,"BetMGM, DraftKings, FanDuel",SUSPICIOUS,home moneyline below 1.05; total outside 5.0-14.5,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-27T22:33:18Z"", ""home_moneyline_odds"": 1.04, ""away_moneyline_odds"": 10.0, ""home_spread_line"": -1.5, ""home_spread_odds"": 11.0, ""total_line"": 3.5, ""over_odds"": 5.9, ""under_odds"": 1.11}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-27T22:33:05Z"", ""home_moneyline_odds"": 1.04, ""away_moneyline_odds"": 9.4, ""home_spread_line"": -1.5, ""home_spread_odds"": 10.2, ""total_line"": 3.5, ""over_odds"": 5.9, ""under_odds"": 1.12}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-27T22:32:28Z"", ""home_moneyline_odds"": 1.04, ""away_moneyline_odds"": 10.5, ""home_spread_line"": -1.5, ""home_spread_odds"": 10.0, ""total_line"": 3.5, ""over_odds"": 6.0, ""under_odds"": 1.12}]"
2026-06-28T00:32:14.520084,1.74,2.16,1.98,1.85,-1.5,9.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-28T00:31:51Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.16, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.5, ""total_line"": 8.5, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-28T00:30:53Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.19, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.44, ""total_line"": 9.0, ""over_odds"": 1.99, ""under_odds"": 1.84}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-28T00:32:02Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.15, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.5, ""total_line"": 9.0, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
2026-06-28T05:45:26.679008,1.7,2.19,1.99,1.84,-1.5,9.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-28T05:45:18Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.2, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 8.5, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-28T05:44:40Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.19, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.44, ""total_line"": 9.0, ""over_odds"": 1.99, ""under_odds"": 1.84}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-28T05:45:18Z"", ""home_moneyline_odds"": 1.71, ""away_moneyline_odds"": 2.15, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.4, ""total_line"": 9.0, ""over_odds"": 2.05, ""under_odds"": 1.8}]"
2026-06-28T09:45:21.736716,1.7,2.19,1.83,2.0,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-28T09:44:46Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.2, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 8.5, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-28T09:44:58Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.19, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.43, ""total_line"": 9.0, ""over_odds"": 2.02, ""under_odds"": 1.81}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-28T09:44:23Z"", ""home_moneyline_odds"": 1.71, ""away_moneyline_odds"": 2.15, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.4, ""total_line"": 8.5, ""over_odds"": 1.83, ""under_odds"": 2.0}]"
2026-06-28T12:17:06.111913,1.7,2.19,1.83,2.0,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-28T12:16:56Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.2, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 8.5, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-28T12:16:57Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.19, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.44, ""total_line"": 9.0, ""over_odds"": 2.01, ""under_odds"": 1.82}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-28T12:16:32Z"", ""home_moneyline_odds"": 1.69, ""away_moneyline_odds"": 2.18, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.45, ""total_line"": 8.5, ""over_odds"": 1.83, ""under_odds"": 2.0}]"
2026-06-28T14:27:46.481147,1.73,2.16,1.89,1.93,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-28T14:27:26Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.16, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 8.5, ""over_odds"": 1.89, ""under_odds"": 1.93}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-28T14:27:37Z"", ""home_moneyline_odds"": 1.73, ""away_moneyline_odds"": 2.14, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.48, ""total_line"": 8.5, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-28T14:26:51Z"", ""home_moneyline_odds"": 1.71, ""away_moneyline_odds"": 2.18, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.5, ""total_line"": 8.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-28T16:41:46.547970,1.71,2.18,1.91,1.91,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-28T16:41:18Z"", ""home_moneyline_odds"": 1.72, ""away_moneyline_odds"": 2.18, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 8.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-28T16:41:25Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.19, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.47, ""total_line"": 8.5, ""over_odds"": 1.9, ""under_odds"": 1.93}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-28T16:41:05Z"", ""home_moneyline_odds"": 1.71, ""away_moneyline_odds"": 2.18, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.45, ""total_line"": 8.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
