timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-05T21:44:35.916220,3.0,1.41,1.91,1.91,1.5,10.5,FanDuel,OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T21:44:04Z"", ""home_moneyline_odds"": 3.0, ""away_moneyline_odds"": 1.41, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.25, ""total_line"": 10.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-05T23:27:43.655626,2.33,1.62,1.91,1.91,1.5,12.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T23:27:27Z"", ""home_moneyline_odds"": 2.32, ""away_moneyline_odds"": 1.64, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.83, ""total_line"": 12.0, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-05T23:26:13Z"", ""home_moneyline_odds"": 2.33, ""away_moneyline_odds"": 1.62, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.91, ""total_line"": 12.0, ""over_odds"": 1.9, ""under_odds"": 1.92}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T23:26:51Z"", ""home_moneyline_odds"": 2.35, ""away_moneyline_odds"": 1.62, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.87, ""total_line"": 12.0, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-05T23:27:43.697544,3.0,1.4049999999999998,1.91,1.91,2.0,10.5,"BetMGM, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-05T23:27:27Z"", ""home_moneyline_odds"": 3.0, ""away_moneyline_odds"": 1.41, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.25, ""total_line"": 10.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-05T23:26:51Z"", ""home_moneyline_odds"": 3.0, ""away_moneyline_odds"": 1.4, ""home_spread_line"": 2.5, ""home_spread_odds"": 1.95, ""total_line"": 10.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-06T06:48:47.287709,3.17,1.37,1.91,1.91,1.5,10.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-06T06:48:37Z"", ""home_moneyline_odds"": 3.1, ""away_moneyline_odds"": 1.39, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.3, ""total_line"": 10.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-06T06:48:19Z"", ""home_moneyline_odds"": 3.2, ""away_moneyline_odds"": 1.36, ""home_spread_line"": 2.5, ""home_spread_odds"": 1.98, ""total_line"": 10.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-06T06:47:43Z"", ""home_moneyline_odds"": 3.17, ""away_moneyline_odds"": 1.37, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.35, ""total_line"": 10.5, ""over_odds"": 1.93, ""under_odds"": 1.9}]"
2026-06-06T07:12:11.803907,3.17,1.37,1.91,1.91,1.5,10.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-06T07:11:50Z"", ""home_moneyline_odds"": 3.1, ""away_moneyline_odds"": 1.39, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.3, ""total_line"": 10.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-06T07:12:08Z"", ""home_moneyline_odds"": 3.2, ""away_moneyline_odds"": 1.36, ""home_spread_line"": 2.5, ""home_spread_odds"": 1.98, ""total_line"": 10.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-06T07:11:32Z"", ""home_moneyline_odds"": 3.17, ""away_moneyline_odds"": 1.37, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.35, ""total_line"": 10.5, ""over_odds"": 1.93, ""under_odds"": 1.9}]"
2026-06-06T07:57:38.085388,3.17,1.37,1.93,1.89,1.5,10.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-06T07:57:11Z"", ""home_moneyline_odds"": 3.1, ""away_moneyline_odds"": 1.39, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.3, ""total_line"": 10.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-06T07:57:25Z"", ""home_moneyline_odds"": 3.2, ""away_moneyline_odds"": 1.36, ""home_spread_line"": 2.5, ""home_spread_odds"": 1.95, ""total_line"": 10.5, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-06T07:56:49Z"", ""home_moneyline_odds"": 3.17, ""away_moneyline_odds"": 1.37, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.35, ""total_line"": 10.5, ""over_odds"": 1.93, ""under_odds"": 1.89}]"
2026-06-06T09:46:09.644009,3.17,1.37,1.93,1.89,1.5,10.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-06T09:46:07Z"", ""home_moneyline_odds"": 3.1, ""away_moneyline_odds"": 1.39, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.3, ""total_line"": 10.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-06T09:45:11Z"", ""home_moneyline_odds"": 3.2, ""away_moneyline_odds"": 1.36, ""home_spread_line"": 2.5, ""home_spread_odds"": 1.95, ""total_line"": 10.5, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-06T09:45:48Z"", ""home_moneyline_odds"": 3.17, ""away_moneyline_odds"": 1.37, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.35, ""total_line"": 10.5, ""over_odds"": 1.93, ""under_odds"": 1.89}]"
2026-06-06T11:49:26.965045,3.17,1.37,1.95,1.88,1.5,10.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-06T11:49:05Z"", ""home_moneyline_odds"": 3.1, ""away_moneyline_odds"": 1.39, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.34, ""total_line"": 10.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-06T11:48:46Z"", ""home_moneyline_odds"": 3.2, ""away_moneyline_odds"": 1.36, ""home_spread_line"": 2.5, ""home_spread_odds"": 1.98, ""total_line"": 10.5, ""over_odds"": 1.98, ""under_odds"": 1.85}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-06T11:49:24Z"", ""home_moneyline_odds"": 3.17, ""away_moneyline_odds"": 1.37, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.38, ""total_line"": 10.5, ""over_odds"": 1.95, ""under_odds"": 1.88}]"
2026-06-06T13:20:13.202395,3.18,1.37,1.89,1.93,1.5,10.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-06T13:19:54Z"", ""home_moneyline_odds"": 3.1, ""away_moneyline_odds"": 1.39, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.34, ""total_line"": 10.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-06T13:20:11Z"", ""home_moneyline_odds"": 3.2, ""away_moneyline_odds"": 1.36, ""home_spread_line"": 2.5, ""home_spread_odds"": 1.98, ""total_line"": 10.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-06T13:19:53Z"", ""home_moneyline_odds"": 3.18, ""away_moneyline_odds"": 1.37, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.41, ""total_line"": 10.5, ""over_odds"": 1.89, ""under_odds"": 1.93}]"
2026-06-06T13:42:27.474429,3.18,1.37,1.89,1.93,1.5,10.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-06T13:42:21Z"", ""home_moneyline_odds"": 3.1, ""away_moneyline_odds"": 1.39, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.3, ""total_line"": 10.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-06T13:41:26Z"", ""home_moneyline_odds"": 3.2, ""away_moneyline_odds"": 1.36, ""home_spread_line"": 2.5, ""home_spread_odds"": 1.98, ""total_line"": 10.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-06T13:41:44Z"", ""home_moneyline_odds"": 3.18, ""away_moneyline_odds"": 1.37, ""home_spread_line"": 1.5, ""home_spread_odds"": 2.41, ""total_line"": 10.5, ""over_odds"": 1.89, ""under_odds"": 1.93}]"
