timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-02T03:08:51.975268,2.04,1.8,1.93,1.89,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T03:08:19Z"", ""home_moneyline_odds"": 2.02, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 8.0, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T03:08:18Z"", ""home_moneyline_odds"": 2.04, ""away_moneyline_odds"": 1.8, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.61, ""total_line"": 8.0, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T03:08:37Z"", ""home_moneyline_odds"": 2.05, ""away_moneyline_odds"": 1.8, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-02T03:52:48.861631,2.04,1.8,1.93,1.89,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T03:52:38Z"", ""home_moneyline_odds"": 2.02, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 8.0, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T03:52:19Z"", ""home_moneyline_odds"": 2.04, ""away_moneyline_odds"": 1.8, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.61, ""total_line"": 8.0, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T03:52:00Z"", ""home_moneyline_odds"": 2.05, ""away_moneyline_odds"": 1.77, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-02T08:29:56.076322,2.04,1.8,1.91,1.91,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T08:29:32Z"", ""home_moneyline_odds"": 2.02, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.58, ""total_line"": 8.0, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T08:28:56Z"", ""home_moneyline_odds"": 2.04, ""away_moneyline_odds"": 1.79, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.61, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T08:29:16Z"", ""home_moneyline_odds"": 2.05, ""away_moneyline_odds"": 1.8, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 8.0, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-02T12:41:58.535242,2.01,1.82,1.92,1.9,1.5,8.0,DraftKings,OK,,"[{""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T12:41:43Z"", ""home_moneyline_odds"": 2.01, ""away_moneyline_odds"": 1.82, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.6, ""total_line"": 8.0, ""over_odds"": 1.92, ""under_odds"": 1.9}]"
2026-06-02T13:53:14.208298,2.01,1.83,1.91,1.91,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T13:53:02Z"", ""home_moneyline_odds"": 2.02, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 8.0, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T13:53:00Z"", ""home_moneyline_odds"": 2.01, ""away_moneyline_odds"": 1.82, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.6, ""total_line"": 8.0, ""over_odds"": 1.92, ""under_odds"": 1.9}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T13:50:43Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.83, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 8.0, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-02T17:23:21.969398,2.04,1.8,1.91,1.92,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T17:22:49Z"", ""home_moneyline_odds"": 2.02, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.58, ""total_line"": 8.0, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T17:23:09Z"", ""home_moneyline_odds"": 2.04, ""away_moneyline_odds"": 1.79, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.6, ""total_line"": 8.0, ""over_odds"": 1.91, ""under_odds"": 1.92}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T17:23:09Z"", ""home_moneyline_odds"": 2.05, ""away_moneyline_odds"": 1.8, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 8.0, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-02T20:49:25.733259,2.05,1.8,1.93,1.9,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T20:49:23Z"", ""home_moneyline_odds"": 2.02, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 8.0, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T20:49:24Z"", ""home_moneyline_odds"": 2.05, ""away_moneyline_odds"": 1.79, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 8.0, ""over_odds"": 1.93, ""under_odds"": 1.9}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T20:49:23Z"", ""home_moneyline_odds"": 2.05, ""away_moneyline_odds"": 1.8, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-02T20:49:25.760697,1.64,2.305,1.89,1.93,-1.5,8.5,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T20:49:23Z"", ""home_moneyline_odds"": 1.64, ""away_moneyline_odds"": 2.32, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.32, ""total_line"": 8.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T20:49:24Z"", ""home_moneyline_odds"": 1.64, ""away_moneyline_odds"": 2.29, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 8.5, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-02T21:55:54.616830,2.05,1.8,1.93,1.9,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T21:55:22Z"", ""home_moneyline_odds"": 2.02, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.58, ""total_line"": 8.0, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T21:55:38Z"", ""home_moneyline_odds"": 2.05, ""away_moneyline_odds"": 1.79, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 8.0, ""over_odds"": 1.93, ""under_odds"": 1.9}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T21:55:00Z"", ""home_moneyline_odds"": 2.05, ""away_moneyline_odds"": 1.8, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-02T21:55:54.642326,1.64,2.305,1.89,1.93,-1.5,8.5,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T21:55:22Z"", ""home_moneyline_odds"": 1.64, ""away_moneyline_odds"": 2.32, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.32, ""total_line"": 8.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T21:55:38Z"", ""home_moneyline_odds"": 1.64, ""away_moneyline_odds"": 2.29, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 8.5, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-02T23:03:38.202892,2.04,1.8,1.95,1.88,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T23:03:24Z"", ""home_moneyline_odds"": 2.02, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 7.5, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T23:03:22Z"", ""home_moneyline_odds"": 2.04, ""away_moneyline_odds"": 1.8, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.62, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.88}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T23:02:45Z"", ""home_moneyline_odds"": 2.05, ""away_moneyline_odds"": 1.8, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-02T23:03:38.231134,1.64,2.29,1.87,1.95,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T23:03:24Z"", ""home_moneyline_odds"": 1.64, ""away_moneyline_odds"": 2.32, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.32, ""total_line"": 8.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T23:03:22Z"", ""home_moneyline_odds"": 1.64, ""away_moneyline_odds"": 2.29, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 8.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T23:02:45Z"", ""home_moneyline_odds"": 1.65, ""away_moneyline_odds"": 2.25, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 8.5, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
