timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-19T00:07:41.222549,1.42,2.98,1.85,1.96,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-19T00:07:22Z"", ""home_moneyline_odds"": 1.42, ""away_moneyline_odds"": 2.98, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.91, ""total_line"": 8.5, ""over_odds"": 1.85, ""under_odds"": 1.96}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-19T00:07:34Z"", ""home_moneyline_odds"": 1.4, ""away_moneyline_odds"": 3.03, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.88, ""total_line"": 8.5, ""over_odds"": 1.83, ""under_odds"": 1.99}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-19T00:05:30Z"", ""home_moneyline_odds"": 1.43, ""away_moneyline_odds"": 2.9, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.87, ""total_line"": 8.5, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-19T05:30:40.609975,1.36,3.23,1.85,1.96,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-19T05:30:28Z"", ""home_moneyline_odds"": 1.37, ""away_moneyline_odds"": 3.2, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.8, ""total_line"": 8.5, ""over_odds"": 1.85, ""under_odds"": 1.96}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-19T05:29:50Z"", ""home_moneyline_odds"": 1.36, ""away_moneyline_odds"": 3.23, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.83, ""total_line"": 8.5, ""over_odds"": 1.85, ""under_odds"": 1.97}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-19T05:30:15Z"", ""home_moneyline_odds"": 1.36, ""away_moneyline_odds"": 3.25, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.83, ""total_line"": 8.5, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-19T11:11:31.845099,1.35,3.25,1.87,1.95,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-19T11:11:20Z"", ""home_moneyline_odds"": 1.37, ""away_moneyline_odds"": 3.2, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.83, ""total_line"": 8.5, ""over_odds"": 1.85, ""under_odds"": 1.96}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-19T11:10:32Z"", ""home_moneyline_odds"": 1.35, ""away_moneyline_odds"": 3.28, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.78, ""total_line"": 8.5, ""over_odds"": 1.88, ""under_odds"": 1.95}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-19T11:10:43Z"", ""home_moneyline_odds"": 1.35, ""away_moneyline_odds"": 3.25, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.77, ""total_line"": 8.5, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-19T14:39:32.959258,1.35,3.25,1.87,1.96,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-19T14:39:17Z"", ""home_moneyline_odds"": 1.37, ""away_moneyline_odds"": 3.2, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.85, ""total_line"": 8.5, ""over_odds"": 1.83, ""under_odds"": 1.98}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-19T14:38:40Z"", ""home_moneyline_odds"": 1.35, ""away_moneyline_odds"": 3.28, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.8, ""total_line"": 8.5, ""over_odds"": 1.87, ""under_odds"": 1.96}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-19T14:39:05Z"", ""home_moneyline_odds"": 1.35, ""away_moneyline_odds"": 3.25, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.77, ""total_line"": 8.5, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-19T17:43:53.585618,1.35,3.25,1.83,2.0,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-19T17:43:48Z"", ""home_moneyline_odds"": 1.37, ""away_moneyline_odds"": 3.2, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.82, ""total_line"": 8.5, ""over_odds"": 1.81, ""under_odds"": 2.02}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-19T17:43:23Z"", ""home_moneyline_odds"": 1.35, ""away_moneyline_odds"": 3.29, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.76, ""total_line"": 9.0, ""over_odds"": 2.0, ""under_odds"": 1.83}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-19T17:43:35Z"", ""home_moneyline_odds"": 1.35, ""away_moneyline_odds"": 3.25, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.77, ""total_line"": 8.5, ""over_odds"": 1.83, ""under_odds"": 2.0}]"
2026-06-19T20:18:48.093808,1.36,3.25,1.96,1.85,-1.5,9.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-19T20:18:27Z"", ""home_moneyline_odds"": 1.36, ""away_moneyline_odds"": 3.25, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.78, ""total_line"": 9.0, ""over_odds"": 1.96, ""under_odds"": 1.85}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-19T20:18:27Z"", ""home_moneyline_odds"": 1.36, ""away_moneyline_odds"": 3.24, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.75, ""total_line"": 9.0, ""over_odds"": 1.95, ""under_odds"": 1.88}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-19T20:18:38Z"", ""home_moneyline_odds"": 1.35, ""away_moneyline_odds"": 3.3, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.71, ""total_line"": 9.0, ""over_odds"": 2.0, ""under_odds"": 1.83}]"
2026-06-19T21:37:55.220722,1.35,3.29,1.96,1.85,-1.5,9.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-19T21:37:34Z"", ""home_moneyline_odds"": 1.36, ""away_moneyline_odds"": 3.25, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.79, ""total_line"": 9.0, ""over_odds"": 1.96, ""under_odds"": 1.85}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-19T21:37:53Z"", ""home_moneyline_odds"": 1.35, ""away_moneyline_odds"": 3.29, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.75, ""total_line"": 9.0, ""over_odds"": 1.95, ""under_odds"": 1.88}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-19T21:37:40Z"", ""home_moneyline_odds"": 1.35, ""away_moneyline_odds"": 3.3, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.74, ""total_line"": 9.0, ""over_odds"": 2.0, ""under_odds"": 1.83}]"
2026-06-19T23:26:09.832348,1.43,2.76,1.75,2.02,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-19T23:25:58Z"", ""home_moneyline_odds"": 1.43, ""away_moneyline_odds"": 2.76, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.94, ""total_line"": 7.5, ""over_odds"": 1.74, ""under_odds"": 2.02}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-19T23:25:20Z"", ""home_moneyline_odds"": 1.36, ""away_moneyline_odds"": 3.06, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.88, ""total_line"": 7.5, ""over_odds"": 1.75, ""under_odds"": 2.02}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-19T23:25:46Z"", ""home_moneyline_odds"": 1.48, ""away_moneyline_odds"": 2.65, ""home_spread_line"": -1.5, ""home_spread_odds"": 1.98, ""total_line"": 8.5, ""over_odds"": 2.0, ""under_odds"": 1.77}]"
2026-06-20T04:42:22.974814,1.53,2.55,1.95,1.87,-1.5,9.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-20T04:42:01Z"", ""home_moneyline_odds"": 1.54, ""away_moneyline_odds"": 2.54, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.14, ""total_line"": 9.5, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-20T04:41:49Z"", ""home_moneyline_odds"": 1.52, ""away_moneyline_odds"": 2.58, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.04, ""total_line"": 9.5, ""over_odds"": 1.96, ""under_odds"": 1.87}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-20T04:41:23Z"", ""home_moneyline_odds"": 1.53, ""away_moneyline_odds"": 2.55, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.05, ""total_line"": 9.5, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-20T08:47:49.695517,1.5,2.63,1.98,1.85,-1.5,9.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-20T08:47:26Z"", ""home_moneyline_odds"": 1.53, ""away_moneyline_odds"": 2.6, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.12, ""total_line"": 9.5, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-20T08:47:14Z"", ""home_moneyline_odds"": 1.5, ""away_moneyline_odds"": 2.63, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.02, ""total_line"": 9.5, ""over_odds"": 1.98, ""under_odds"": 1.84}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-20T08:47:14Z"", ""home_moneyline_odds"": 1.5, ""away_moneyline_odds"": 2.65, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.0, ""total_line"": 9.5, ""over_odds"": 1.98, ""under_odds"": 1.85}]"
