timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-26T18:22:41.006705,1.53,2.58,1.88,1.94,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-26T18:22:30Z"", ""home_moneyline_odds"": 1.53, ""away_moneyline_odds"": 2.6, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.16, ""total_line"": 7.5, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-26T18:22:18Z"", ""home_moneyline_odds"": 1.52, ""away_moneyline_odds"": 2.58, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.09, ""total_line"": 7.5, ""over_odds"": 1.9, ""under_odds"": 1.93}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-26T18:21:44Z"", ""home_moneyline_odds"": 1.53, ""away_moneyline_odds"": 2.55, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.1, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-26T20:26:59.559554,1.53,2.55,1.89,1.93,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-26T20:26:49Z"", ""home_moneyline_odds"": 1.53, ""away_moneyline_odds"": 2.6, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.16, ""total_line"": 7.5, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-26T20:26:02Z"", ""home_moneyline_odds"": 1.53, ""away_moneyline_odds"": 2.53, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.13, ""total_line"": 7.5, ""over_odds"": 1.89, ""under_odds"": 1.93}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-26T20:26:48Z"", ""home_moneyline_odds"": 1.53, ""away_moneyline_odds"": 2.55, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.15, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-26T22:44:42.567779,1.5,2.54,1.85,1.91,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-26T22:44:21Z"", ""home_moneyline_odds"": 1.5, ""away_moneyline_odds"": 2.54, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.14, ""total_line"": 7.5, ""over_odds"": 1.78, ""under_odds"": 1.96}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-26T22:43:58Z"", ""home_moneyline_odds"": 1.55, ""away_moneyline_odds"": 2.39, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.24, ""total_line"": 7.5, ""over_odds"": 1.85, ""under_odds"": 1.91}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-26T22:44:33Z"", ""home_moneyline_odds"": 1.5, ""away_moneyline_odds"": 2.55, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.1, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.91}]"
2026-06-27T00:38:35.165877,1.95,1.87,1.91,1.91,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-27T00:38:30Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.86, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.56, ""total_line"": 7.5, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-27T00:36:58Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.87, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 8.0, ""over_odds"": 1.94, ""under_odds"": 1.88}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-27T00:38:17Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.87, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 8.0, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-27T05:23:38.328673,1.98,1.85,1.93,1.89,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-27T05:23:23Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.86, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.56, ""total_line"": 7.5, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-27T05:20:56Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.6, ""total_line"": 8.0, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-27T05:23:31Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.61, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-27T08:17:55.245046,2.0,1.85,1.95,1.87,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-27T08:17:54Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-27T08:16:58Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.6, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.88}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-27T08:16:58Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.61, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-27T10:43:36.443371,1.98,1.85,1.95,1.87,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-27T10:43:26Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.56, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-27T10:42:31Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.6, ""total_line"": 8.0, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-27T10:43:14Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.61, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-27T12:34:10.375415,2.0,1.85,1.95,1.87,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-27T12:34:04Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.6, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-27T12:33:29Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.58, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.88}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-27T12:33:52Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-27T15:11:16.842505,2.0,1.85,1.95,1.87,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-27T15:11:07Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-27T15:10:46Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.58, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.88}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-27T15:10:56Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-27T16:37:42.190994,2.0,1.83,1.95,1.87,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-27T16:37:41Z"", ""home_moneyline_odds"": 2.02, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.6, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-27T16:37:27Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.58, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.88}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-27T16:37:27Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.83, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-27T18:36:30.830997,1.92,1.91,1.94,1.88,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-27T18:36:14Z"", ""home_moneyline_odds"": 1.94, ""away_moneyline_odds"": 1.91, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.53, ""total_line"": 8.0, ""over_odds"": 1.94, ""under_odds"": 1.88}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-27T18:36:25Z"", ""home_moneyline_odds"": 1.92, ""away_moneyline_odds"": 1.91, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 8.0, ""over_odds"": 1.92, ""under_odds"": 1.91}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-27T18:34:26Z"", ""home_moneyline_odds"": 1.91, ""away_moneyline_odds"": 1.91, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.54, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-27T20:38:33.790248,1.94,1.89,1.94,1.88,1.5,8.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-27T20:38:11Z"", ""home_moneyline_odds"": 1.94, ""away_moneyline_odds"": 1.91, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.53, ""total_line"": 8.0, ""over_odds"": 1.94, ""under_odds"": 1.88}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-27T20:38:11Z"", ""home_moneyline_odds"": 1.93, ""away_moneyline_odds"": 1.89, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 8.0, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-27T20:38:20Z"", ""home_moneyline_odds"": 1.95, ""away_moneyline_odds"": 1.87, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
