timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-08T22:07:33.465957,1.955,1.88,1.975,1.85,1.5,7.5,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-08T22:07:20Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-08T22:06:43Z"", ""home_moneyline_odds"": 1.91, ""away_moneyline_odds"": 1.91, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 7.5, ""over_odds"": 2.04, ""under_odds"": 1.79}]"
2026-06-08T22:39:22.402774,1.74,2.12,1.87,1.96,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-08T22:39:07Z"", ""home_moneyline_odds"": 1.76, ""away_moneyline_odds"": 2.12, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.55, ""total_line"": 7.5, ""over_odds"": 1.83, ""under_odds"": 1.98}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-08T22:39:06Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.13, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.58, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.96}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-08T22:38:28Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.55, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-08T22:39:22.443079,1.955,1.88,1.975,1.85,1.5,7.5,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-08T22:39:07Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-08T22:39:06Z"", ""home_moneyline_odds"": 1.91, ""away_moneyline_odds"": 1.91, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 7.5, ""over_odds"": 2.04, ""under_odds"": 1.79}]"
2026-06-08T23:59:50.190604,1.74,2.12,1.87,1.96,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-08T23:59:47Z"", ""home_moneyline_odds"": 1.76, ""away_moneyline_odds"": 2.12, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.52, ""total_line"": 7.5, ""over_odds"": 1.83, ""under_odds"": 1.98}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-08T23:59:49Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.13, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.58, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.96}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-08T23:58:53Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.55, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-08T23:59:50.220035,1.955,1.88,1.975,1.85,1.5,7.5,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-08T23:59:47Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.59, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-08T23:59:49Z"", ""home_moneyline_odds"": 1.91, ""away_moneyline_odds"": 1.91, ""home_spread_line"": null, ""home_spread_odds"": null, ""total_line"": 7.5, ""over_odds"": 2.04, ""under_odds"": 1.79}]"
2026-06-09T00:25:15.969129,1.74,2.13,1.87,1.96,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-09T00:24:44Z"", ""home_moneyline_odds"": 1.76, ""away_moneyline_odds"": 2.12, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.52, ""total_line"": 7.5, ""over_odds"": 1.83, ""under_odds"": 1.98}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-09T00:25:05Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.13, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.58, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.96}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-09T00:25:03Z"", ""home_moneyline_odds"": 1.71, ""away_moneyline_odds"": 2.15, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.55, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-09T00:25:16.010044,1.955,1.88,1.86,1.97,1.5,7.25,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-09T00:24:44Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.58, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-09T00:25:05Z"", ""home_moneyline_odds"": 1.91, ""away_moneyline_odds"": 1.91, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.52, ""total_line"": 7.0, ""over_odds"": 1.81, ""under_odds"": 2.03}]"
2026-06-09T03:07:06.776522,1.56,2.4,2.1,1.69,-1.5,5.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-09T03:06:49Z"", ""home_moneyline_odds"": 1.56, ""away_moneyline_odds"": 2.38, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.98, ""total_line"": 5.5, ""over_odds"": 2.16, ""under_odds"": 1.65}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-09T03:06:32Z"", ""home_moneyline_odds"": 1.51, ""away_moneyline_odds"": 2.48, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.94, ""total_line"": 5.5, ""over_odds"": 2.04, ""under_odds"": 1.74}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-09T03:06:30Z"", ""home_moneyline_odds"": 1.56, ""away_moneyline_odds"": 2.4, ""home_spread_line"": -1.5, ""home_spread_odds"": 3.1, ""total_line"": 5.5, ""over_odds"": 2.1, ""under_odds"": 1.69}]"
2026-06-09T03:07:06.817169,1.98,1.85,2.0,1.83,1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-09T03:06:49Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 7.5, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-09T03:06:32Z"", ""home_moneyline_odds"": 1.97, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 7.5, ""over_odds"": 2.02, ""under_odds"": 1.81}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-09T03:06:30Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.56, ""total_line"": 7.5, ""over_odds"": 2.0, ""under_odds"": 1.83}]"
2026-06-09T05:24:55.084733,1.98,1.85,2.0,1.82,1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-09T05:24:27Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.56, ""total_line"": 7.5, ""over_odds"": 2.0, ""under_odds"": 1.82}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-09T05:24:25Z"", ""home_moneyline_odds"": 1.97, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 7.5, ""over_odds"": 2.02, ""under_odds"": 1.81}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-09T05:24:25Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.56, ""total_line"": 7.5, ""over_odds"": 2.0, ""under_odds"": 1.83}]"
2026-06-09T06:00:18.808568,1.98,1.85,2.0,1.82,1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-09T06:00:00Z"", ""home_moneyline_odds"": 2.0, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.56, ""total_line"": 7.5, ""over_odds"": 2.0, ""under_odds"": 1.82}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-09T06:00:02Z"", ""home_moneyline_odds"": 1.97, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.57, ""total_line"": 7.5, ""over_odds"": 2.02, ""under_odds"": 1.81}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-09T06:00:00Z"", ""home_moneyline_odds"": 1.98, ""away_moneyline_odds"": 1.85, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.56, ""total_line"": 7.5, ""over_odds"": 2.0, ""under_odds"": 1.83}]"
