timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-24T04:37:42.597579,1.67,2.24,1.87,1.95,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-24T04:37:29Z"", ""home_moneyline_odds"": 1.68, ""away_moneyline_odds"": 2.24, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.6, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-24T04:37:03Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.24, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.41, ""total_line"": 7.5, ""over_odds"": 1.89, ""under_odds"": 1.93}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-24T04:37:15Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.25, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.4, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-24T08:53:04.015697,1.67,2.24,1.87,1.95,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-24T08:52:50Z"", ""home_moneyline_odds"": 1.68, ""away_moneyline_odds"": 2.24, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-24T08:52:53Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.24, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.41, ""total_line"": 7.5, ""over_odds"": 1.89, ""under_odds"": 1.93}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-24T08:52:01Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.25, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.4, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.95}]"
2026-06-24T12:12:46.772218,1.67,2.24,1.89,1.93,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-24T12:12:29Z"", ""home_moneyline_odds"": 1.68, ""away_moneyline_odds"": 2.24, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-24T12:11:53Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.24, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.41, ""total_line"": 7.5, ""over_odds"": 1.89, ""under_odds"": 1.93}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-24T12:12:17Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.25, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.4, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-24T15:09:22.812048,1.67,2.24,1.9,1.93,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-24T15:09:14Z"", ""home_moneyline_odds"": 1.68, ""away_moneyline_odds"": 2.24, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-24T15:08:50Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.24, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.42, ""total_line"": 7.5, ""over_odds"": 1.9, ""under_odds"": 1.93}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-24T15:08:49Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.25, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.4, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-24T17:34:12.670591,1.67,2.25,1.88,1.94,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-24T17:33:51Z"", ""home_moneyline_odds"": 1.68, ""away_moneyline_odds"": 2.24, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 7.5, ""over_odds"": 1.87, ""under_odds"": 1.95}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-24T17:33:28Z"", ""home_moneyline_odds"": 1.64, ""away_moneyline_odds"": 2.29, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.42, ""total_line"": 7.5, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-24T17:32:41Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.25, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.4, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-24T20:19:50.945863,1.67,2.24,1.91,1.92,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-24T20:19:42Z"", ""home_moneyline_odds"": 1.68, ""away_moneyline_odds"": 2.24, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.5, ""total_line"": 7.5, ""over_odds"": 1.89, ""under_odds"": 1.93}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-24T20:19:42Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.23, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.43, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.92}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-24T20:19:41Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.25, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.4, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-24T22:01:42.510414,1.69,2.19,1.91,1.92,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-24T22:01:41Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.2, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 7.5, ""over_odds"": 1.89, ""under_odds"": 1.93}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-24T22:01:40Z"", ""home_moneyline_odds"": 1.69, ""away_moneyline_odds"": 2.19, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.52, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.92}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-24T22:01:18Z"", ""home_moneyline_odds"": 1.69, ""away_moneyline_odds"": 2.18, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.55, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-06-24T23:35:26.984732,1.11,6.25,1.85,1.91,-2.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-24T23:35:05Z"", ""home_moneyline_odds"": 1.1, ""away_moneyline_odds"": 6.6, ""home_spread_line"": -2.5, ""home_spread_odds"": 1.6, ""total_line"": 7.5, ""over_odds"": 1.91, ""under_odds"": 1.83}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-24T23:34:52Z"", ""home_moneyline_odds"": 1.11, ""away_moneyline_odds"": 6.1, ""home_spread_line"": -2.5, ""home_spread_odds"": 1.67, ""total_line"": 7.5, ""over_odds"": 1.81, ""under_odds"": 1.95}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-24T23:34:30Z"", ""home_moneyline_odds"": 1.12, ""away_moneyline_odds"": 6.25, ""home_spread_line"": -3.5, ""home_spread_odds"": 2.2, ""total_line"": 7.5, ""over_odds"": 1.85, ""under_odds"": 1.91}]"
2026-06-25T04:27:58.854157,1.7,2.19,1.95,1.87,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-25T04:27:39Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.16, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.64, ""total_line"": 8.5, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-25T04:27:51Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.19, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.48, ""total_line"": 8.5, ""over_odds"": 1.95, ""under_odds"": 1.88}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-25T04:27:16Z"", ""home_moneyline_odds"": 1.69, ""away_moneyline_odds"": 2.2, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.45, ""total_line"": 8.5, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-25T08:42:56.527937,1.7,2.2,1.95,1.87,-1.5,8.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-25T08:42:54Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.2, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.58, ""total_line"": 8.5, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-25T08:42:32Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.19, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.48, ""total_line"": 8.5, ""over_odds"": 1.93, ""under_odds"": 1.89}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-25T08:42:54Z"", ""home_moneyline_odds"": 1.69, ""away_moneyline_odds"": 2.2, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.45, ""total_line"": 8.5, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
