timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-05-30T15:29:41.489703,1.61,2.36,1.89,1.93,-1.5,7.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-30T15:29:39Z"", ""home_moneyline_odds"": 1.62, ""away_moneyline_odds"": 2.36, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 7.0, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-30T15:29:19Z"", ""home_moneyline_odds"": 1.6, ""away_moneyline_odds"": 2.39, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 7.0, ""over_odds"": 1.89, ""under_odds"": 1.93}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-30T15:29:39Z"", ""home_moneyline_odds"": 1.61, ""away_moneyline_odds"": 2.35, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 7.0, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-05-30T16:30:28.709249,1.62,2.36,1.89,1.93,-1.5,7.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-30T16:30:12Z"", ""home_moneyline_odds"": 1.62, ""away_moneyline_odds"": 2.36, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.42, ""total_line"": 7.0, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-30T16:29:34Z"", ""home_moneyline_odds"": 1.6, ""away_moneyline_odds"": 2.39, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 7.0, ""over_odds"": 1.89, ""under_odds"": 1.93}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-30T16:30:09Z"", ""home_moneyline_odds"": 1.62, ""away_moneyline_odds"": 2.35, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.45, ""total_line"": 7.0, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-05-30T16:40:27.884622,1.62,2.36,1.89,1.93,-1.5,7.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-30T16:39:51Z"", ""home_moneyline_odds"": 1.62, ""away_moneyline_odds"": 2.36, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.42, ""total_line"": 7.0, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-30T16:40:12Z"", ""home_moneyline_odds"": 1.6, ""away_moneyline_odds"": 2.39, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 7.0, ""over_odds"": 1.89, ""under_odds"": 1.93}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-30T16:39:32Z"", ""home_moneyline_odds"": 1.62, ""away_moneyline_odds"": 2.35, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.45, ""total_line"": 7.0, ""over_odds"": 1.91, ""under_odds"": 1.91}]"
2026-05-30T17:04:57.067710,1.6,2.39,1.89,1.93,-1.5,7.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-30T17:04:52Z"", ""home_moneyline_odds"": 1.62, ""away_moneyline_odds"": 2.36, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.42, ""total_line"": 7.0, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-30T17:04:32Z"", ""home_moneyline_odds"": 1.6, ""away_moneyline_odds"": 2.39, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 7.0, ""over_odds"": 1.89, ""under_odds"": 1.93}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-30T17:04:50Z"", ""home_moneyline_odds"": 1.59, ""away_moneyline_odds"": 2.4, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 7.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-05-30T17:22:04.653180,1.6,2.39,1.89,1.93,-1.5,7.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-30T17:21:48Z"", ""home_moneyline_odds"": 1.62, ""away_moneyline_odds"": 2.36, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.5, ""total_line"": 7.0, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-30T17:21:06Z"", ""home_moneyline_odds"": 1.6, ""away_moneyline_odds"": 2.39, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 7.0, ""over_odds"": 1.89, ""under_odds"": 1.93}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-30T17:21:26Z"", ""home_moneyline_odds"": 1.59, ""away_moneyline_odds"": 2.4, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 7.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-05-30T17:22:04.685697,1.51,2.66,1.95,1.87,-1.5,8.0,FanDuel,OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-30T17:21:48Z"", ""home_moneyline_odds"": 1.51, ""away_moneyline_odds"": 2.66, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.14, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-05-30T19:14:20.967352,1.6,2.39,1.89,1.93,-1.5,7.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-30T19:14:01Z"", ""home_moneyline_odds"": 1.62, ""away_moneyline_odds"": 2.36, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.4, ""total_line"": 7.0, ""over_odds"": 1.88, ""under_odds"": 1.94}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-30T19:13:57Z"", ""home_moneyline_odds"": 1.6, ""away_moneyline_odds"": 2.39, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 7.0, ""over_odds"": 1.89, ""under_odds"": 1.93}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-30T19:13:57Z"", ""home_moneyline_odds"": 1.59, ""away_moneyline_odds"": 2.4, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 7.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-05-30T19:14:21.001076,1.51,2.66,1.95,1.87,-1.5,8.0,FanDuel,OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-30T19:14:01Z"", ""home_moneyline_odds"": 1.51, ""away_moneyline_odds"": 2.66, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.14, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-05-30T20:56:06.189861,3.47,1.29,1.9,1.85,2.5,10.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-30T20:55:27Z"", ""home_moneyline_odds"": 3.4, ""away_moneyline_odds"": 1.3, ""home_spread_line"": 2.5, ""home_spread_odds"": 1.76, ""total_line"": 10.5, ""over_odds"": 1.72, ""under_odds"": 2.04}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-05-30T20:56:03Z"", ""home_moneyline_odds"": 3.47, ""away_moneyline_odds"": 1.29, ""home_spread_line"": 2.5, ""home_spread_odds"": 1.83, ""total_line"": 10.5, ""over_odds"": 1.9, ""under_odds"": 1.85}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-05-30T20:56:03Z"", ""home_moneyline_odds"": 4.0, ""away_moneyline_odds"": 1.24, ""home_spread_line"": 2.5, ""home_spread_odds"": 1.83, ""total_line"": 10.5, ""over_odds"": 1.98, ""under_odds"": 1.8}]"
2026-05-30T20:56:06.226192,1.51,2.66,1.95,1.87,-1.5,8.0,FanDuel,OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-05-30T20:55:27Z"", ""home_moneyline_odds"": 1.51, ""away_moneyline_odds"": 2.66, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.14, ""total_line"": 8.0, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
