game_id,game_date,home_team,away_team,home_lineup_confirmed,away_lineup_confirmed,home_projected_lineup_available,away_projected_lineup_available,home_projected_lineup_status,away_projected_lineup_status,home_projected_player_ids_json,away_projected_player_ids_json,home_projected_player_count,away_projected_player_count,home_projected_top3_player_ids,away_projected_top3_player_ids,home_projected_lineup_reason,away_projected_lineup_reason,projected_lineup_source,projected_lineup_captured_at
822727,2026-06-03,Washington Nationals,Miami Marlins,False,False,False,False,unavailable,unavailable,[],[],0,0,,,No confirmed or projected lineup source available,No confirmed or projected lineup source available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822728,2026-06-02,Washington Nationals,Miami Marlins,True,True,True,True,confirmed_lineup_available,confirmed_lineup_available,"[695578, 671277, 678554, 682928, 695734, 686611, 678391, 686452, 696285]","[681715, 672640, 669065, 669364, 677870, 689414, 805300, 683357, 691788]",9,9,"695578,671277,678554","681715,672640,669065",Confirmed lineup already available,Confirmed lineup already available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822729,2026-05-31,Washington Nationals,San Diego Padres,True,True,True,True,confirmed_lineup_available,confirmed_lineup_available,"[695578, 671277, 678554, 682928, 695734, 696285, 677588, 678391, 660688]","[665487, 657757, 592518, 593428, 701538, 664034, 592206, 823550, 666023]",9,9,"695578,671277,678554","665487,657757,592518",Confirmed lineup already available,Confirmed lineup already available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822730,2026-06-01,Washington Nationals,Miami Marlins,True,True,True,True,confirmed_lineup_available,confirmed_lineup_available,"[695578, 671277, 678554, 682928, 695734, 696285, 677588, 660688, 683083]","[689414, 672640, 669065, 669364, 677870, 683357, 805300, 691788, 681393]",9,9,"695578,671277,678554","689414,672640,669065",Confirmed lineup already available,Confirmed lineup already available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822731,2026-05-30,Washington Nationals,San Diego Padres,True,True,False,False,unavailable,unavailable,[],[],0,0,,,No confirmed or projected lineup source available,No confirmed or projected lineup source available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822806,2026-06-08,Toronto Blue Jays,Philadelphia Phillies,False,False,False,False,unavailable,unavailable,[],[],0,0,,,No confirmed or projected lineup source available,No confirmed or projected lineup source available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822807,2026-06-07,Toronto Blue Jays,Baltimore Orioles,False,False,False,False,unavailable,unavailable,[],[],0,0,,,No confirmed or projected lineup source available,No confirmed or projected lineup source available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822808,2026-06-06,Toronto Blue Jays,Baltimore Orioles,False,False,False,False,unavailable,unavailable,[],[],0,0,,,No confirmed or projected lineup source available,No confirmed or projected lineup source available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822810,2026-06-05,Toronto Blue Jays,Baltimore Orioles,True,True,True,True,confirmed_lineup_available,confirmed_lineup_available,"[543807, 664770, 665489, 662139, 676391, 660821, 672960, 665926, 678218]","[621493, 683002, 668939, 624413, 694212, 691723, 681297, 665750, 702616]",9,9,"543807,664770,665489","621493,683002,668939",Confirmed lineup already available,Confirmed lineup already available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822890,2026-06-07,Texas Rangers,Cleveland Guardians,False,False,False,False,unavailable,unavailable,[],[],0,0,,,No confirmed or projected lineup source available,No confirmed or projected lineup source available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822891,2026-06-06,Texas Rangers,Cleveland Guardians,False,False,False,False,unavailable,unavailable,[],[],0,0,,,No confirmed or projected lineup source available,No confirmed or projected lineup source available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822892,2026-06-05,Texas Rangers,Cleveland Guardians,True,True,True,True,confirmed_lineup_available,confirmed_lineup_available,"[694671, 608369, 673962, 607043, 677649, 679822, 669394, 543309, 680737]","[683953, 608070, 800050, 700932, 656555, 682177, 680757, 595978, 677587]",9,9,"694671,608369,673962","683953,608070,800050",Confirmed lineup already available,Confirmed lineup already available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822893,2026-05-30,Texas Rangers,Kansas City Royals,True,True,False,False,unavailable,unavailable,[],[],0,0,,,No confirmed or projected lineup source available,No confirmed or projected lineup source available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822895,2026-05-31,Texas Rangers,Kansas City Royals,True,True,True,True,confirmed_lineup_available,confirmed_lineup_available,"[592626, 673962, 607043, 669394, 677649, 696030, 543309, 670032, 680737]","[695600, 677951, 686469, 521692, 695506, 686555, 686681, 679845, 664728]",9,9,"592626,673962,607043","695600,677951,686469",Confirmed lineup already available,Confirmed lineup already available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822971,2026-06-02,Tampa Bay Rays,Detroit Tigers,True,True,True,True,confirmed_lineup_available,confirmed_lineup_available,"[802415, 691406, 666018, 650490, 680700, 668723, 683748, 676439, 810938]","[650402, 663837, 693307, 682985, 663330, 679529, 672761, 656716, 670097]",9,9,"802415,691406,666018","650402,663837,693307",Confirmed lineup already available,Confirmed lineup already available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822972,2026-06-08,Tampa Bay Rays,Boston Red Sox,False,False,False,False,unavailable,unavailable,[],[],0,0,,,No confirmed or projected lineup source available,No confirmed or projected lineup source available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822973,2026-06-03,Tampa Bay Rays,Detroit Tigers,False,True,False,True,unavailable,confirmed_lineup_available,[],"[650402, 805808, 693307, 681481, 682985, 679529, 690993, 663837, 668670]",0,9,,"650402,805808,693307",No confirmed or projected lineup source available,Confirmed lineup already available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822974,2026-06-01,Tampa Bay Rays,Detroit Tigers,True,True,True,True,confirmed_lineup_available,confirmed_lineup_available,"[650490, 666018, 680700, 691406, 802415, 683748, 656775, 676439, 670764]","[805808, 693307, 681481, 682985, 679529, 690993, 672761, 701678, 656716]",9,9,"650490,666018,680700","805808,693307,681481",Confirmed lineup already available,Confirmed lineup already available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822975,2026-05-30,Tampa Bay Rays,Los Angeles Angels,True,True,False,False,unavailable,unavailable,[],[],0,0,,,No confirmed or projected lineup source available,No confirmed or projected lineup source available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
822976,2026-05-31,Tampa Bay Rays,Los Angeles Angels,True,True,True,True,confirmed_lineup_available,confirmed_lineup_available,"[650490, 666018, 680700, 691406, 802415, 683748, 656775, 676439, 670764]","[687263, 545361, 687093, 624585, 666176, 672724, 642350, 681351, 663611]",9,9,"650490,666018,680700","687263,545361,687093",Confirmed lineup already available,Confirmed lineup already available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
823047,2026-06-07,St. Louis Cardinals,Cincinnati Reds,False,False,False,False,unavailable,unavailable,[],[],0,0,,,No confirmed or projected lineup source available,No confirmed or projected lineup source available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
823048,2026-06-06,St. Louis Cardinals,Cincinnati Reds,False,False,False,False,unavailable,unavailable,[],[],0,0,,,No confirmed or projected lineup source available,No confirmed or projected lineup source available,projected_lineup_v1,2026-06-08T14:51:33.470401+00:00
