game_id,game_date,start_time,captured_at,home_team,away_team,home_lag30_winrate,away_lag30_winrate,lag30_winrate_diff,home_lag30_runs_for_avg,away_lag30_runs_for_avg,home_lag30_runs_against_avg,away_lag30_runs_against_avg,lag30_runs_diff,home_rest_days,away_rest_days,rest_diff,home_back2back,away_back2back,back2back_diff,home_games_last_3d,away_games_last_3d,games_last_3d_diff,home_games_last_7d,away_games_last_7d,games_last_7d_diff,rest_pressure_diff,home_log5_strength,away_log5_strength,log5_prob,home_elo_momentum_7d,away_elo_momentum_7d,elo_momentum_7d,home_elo_momentum_30d,away_elo_momentum_30d,elo_momentum_30d,team_form_source_status,team_form_reason,team_form_captured_at
822717,2026-06-25,2026-06-25T22:45:00+00:00,2026-06-25T22:27:03.058701+00:00,Washington Nationals,Philadelphia Phillies,0.5517,0.6429,-0.0911,5.4828,4.9643,4.3793,4.2857,0.4249,1,1,0,True,True,0,3,3,0,6,6,0,0.0,0.5517,0.6429,0.4061,-0.1667,0.1667,-0.3333,0.0517,0.1429,-0.0911,ok,"recent_schedule_notes=Washington Nationals:ok,Philadelphia Phillies:ok",2026-06-30T12:09:40.290275+00:00
822718,2026-06-23,2026-06-23T22:45:00+00:00,2026-06-23T21:04:58.426477+00:00,Washington Nationals,Philadelphia Phillies,0.6207,0.6071,0.0135,5.4483,4.4286,3.8276,3.9286,1.1207,1,1,0,True,True,0,3,3,0,6,6,0,0.0,0.6207,0.6071,0.5143,0.0,0.0,0.0,0.1207,0.1071,0.0135,ok,"recent_schedule_notes=Washington Nationals:ok,Philadelphia Phillies:ok",2026-06-30T12:09:40.290275+00:00
822719,2026-06-24,2026-06-24T22:45:00+00:00,2026-06-24T21:40:46.563377+00:00,Washington Nationals,Philadelphia Phillies,0.5862,0.6429,-0.0567,5.6897,4.8929,4.2759,4.1429,0.6638,1,1,0,True,True,0,3,3,0,6,6,0,0.0,0.5862,0.6429,0.4404,-0.1667,0.0,-0.1667,0.0862,0.1429,-0.0567,ok,"recent_schedule_notes=Washington Nationals:ok,Philadelphia Phillies:ok",2026-06-30T12:09:40.290275+00:00
822720,2026-06-22,2026-06-22T22:45:00+00:00,2026-06-22T21:09:28.267174+00:00,Washington Nationals,Philadelphia Phillies,0.6207,0.6429,-0.0222,5.3793,4.5,3.7931,3.7857,0.8719,1,1,0,True,True,0,3,2,1,6,6,0,-0.35,0.6207,0.6429,0.4762,0.0,0.1667,-0.1667,0.1207,0.1429,-0.0222,ok,"recent_schedule_notes=Washington Nationals:ok,Philadelphia Phillies:ok",2026-06-30T12:09:40.290275+00:00
822721,2026-06-17,2026-06-17T17:05:00+00:00,2026-06-17T13:54:21.557616+00:00,Washington Nationals,Kansas City Royals,0.6333,0.3,0.3333,5.8,3.9333,4.1667,5.4667,3.1667,1,1,0,True,True,0,3,3,0,7,8,-1,0.15,0.6333,0.3,0.8012,0.2143,-0.375,0.5893,0.1333,-0.2,0.3333,ok,"recent_schedule_notes=Washington Nationals:ok,Kansas City Royals:ok",2026-06-30T12:09:40.290275+00:00
822722,2026-06-14,2026-06-14T17:35:00+00:00,2026-06-14T12:01:32.809155+00:00,Washington Nationals,Seattle Mariners,0.6,0.6129,-0.0129,5.6667,4.5806,4.3,3.8065,0.5925,1,1,0,True,True,0,2,3,-1,8,7,1,0.2,0.6,0.6129,0.4865,0.125,-0.0714,0.1964,0.1,0.1129,-0.0129,ok,"recent_schedule_notes=Washington Nationals:ok,Seattle Mariners:ok",2026-06-30T12:09:40.290275+00:00
822723,2026-06-16,2026-06-16T22:45:00+00:00,2026-06-16T21:14:10.018628+00:00,Washington Nationals,Kansas City Royals,0.6,0.3333,0.2667,5.7,3.8667,4.2667,5.2667,2.8333,1,1,0,True,True,0,3,4,-1,8,8,0,0.35,0.6,0.3333,0.75,0.25,-0.25,0.5,0.1,-0.1667,0.2667,ok,"recent_schedule_notes=Washington Nationals:ok,Kansas City Royals:ok",2026-06-30T12:09:40.290275+00:00
822724,2026-06-15,2026-06-15T22:45:00+00:00,2026-06-15T10:30:49.037896+00:00,Washington Nationals,Kansas City Royals,0.6,0.3333,0.2667,5.9,3.8333,4.2667,5.1667,2.9667,1,1,0,True,True,0,3,4,-1,8,7,1,0.2,0.6,0.3333,0.75,0.25,-0.2143,0.4643,0.1,-0.1667,0.2667,ok,"recent_schedule_notes=Washington Nationals:ok,Kansas City Royals:ok",2026-06-30T12:09:40.290275+00:00
822725,2026-06-13,2026-06-13T20:05:00+00:00,2026-06-13T14:54:26.594670+00:00,Washington Nationals,Seattle Mariners,0.5667,0.6452,-0.0785,5.4333,4.7419,4.7,3.6452,-0.3634,1,1,0,True,True,0,3,3,0,9,7,2,-0.3,0.5667,0.6452,0.4183,0.1667,0.0714,0.0952,0.0667,0.1452,-0.0785,ok,"recent_schedule_notes=Washington Nationals:ok,Seattle Mariners:ok",2026-06-30T12:09:40.290275+00:00
822726,2026-06-12,2026-06-12T22:45:00+00:00,2026-06-12T21:52:30.159126+00:00,Washington Nationals,Seattle Mariners,0.6,0.6129,-0.0129,5.6333,4.5161,4.6,3.7097,0.2269,2,1,1,False,True,-1,4,3,1,9,7,2,-0.15,0.6,0.6129,0.4865,0.2778,-0.0714,0.3492,0.1,0.1129,-0.0129,ok,"recent_schedule_notes=Washington Nationals:ok,Seattle Mariners:ok",2026-06-30T12:09:40.290275+00:00
